track_id,release_year,duration,us_popularity_estimate,acousticness,beat_strength,bounciness,danceability,energy,instrumental,liveness,loudness,mode,speechiness,tempo,valence
t_8e88a9ea-1451-44ff-8fae-8bbad75b55c8,1979,364.9066772,90.96523202,0.851045907,0.363621801,0.300116897,0.465182215,0.127037063,0.000000275,0.096353523,-18.85499954,major,0.03164478,132.0209961,0.211844116
t_66f5729b-86cf-4821-b7b4-56f23e4b7901,1977,298.6799927,96.36913638,0.525821805,0.523630381,0.64572686,0.630868375,0.407911897,0.735833704,0.152711987,-12.18599987,major,0.059638634,169.302002,0.867197633
t_b8f4bb3b-3d5d-4fa5-98b0-c51a15a281a2,1990,183.3333282,94.28070508,0.557434618,0.314157963,0.378437191,0.414229214,0.341889858,0.000258891,0.111638114,-10.49600029,major,0.031554457,145.7330017,0.247267708
t_dd5d84a4-de19-40cf-8d9f-04678c00ab9c,1976,211.7200012,90.58739158,0.89147979,0.423190087,0.39378354,0.343938828,0.234211355,0.602411687,0.659760237,-21.20800018,major,0.03244511,94.5759964,0.042566147
t_0a7d8592-e9fc-445b-96c4-3a12d1d0252c,1969,161.1999969,92.94279018,0.866348386,0.347149014,0.308867812,0.30369404,0.11401929,0.757102251,0.147269905,-18.25799942,major,0.039533582,97.22699738,0.196715981
t_c2308326-68a3-4e7b-b916-fbeab7e10d69,1972,233.6000061,96.37621161,0.06138707,0.4270612,0.373601049,0.446309298,0.740581691,0.000000723,0.618790209,-5.05700016,major,0.026895711,86.6760025,0.538198233
t_48825098-2321-4e75-b042-345d685e1c0b,1964,133.3333282,90.77995235,0.042154286,0.343465567,0.334523946,0.303680658,0.804521143,0.0000143,0.059950579,-10.72200012,major,0.053374674,173.8240051,0.880956829
t_47bed020-9dc3-4eb2-b339-3bb39781281b,1982,145.2666626,94.51186196,0.009321156,0.559833348,0.570614219,0.665362179,0.770971417,0.00000157,0.104985051,-6.366000175,major,0.036452014,121.3639984,0.965202987
t_e763b22d-6c12-4136-97aa-32606348725b,1953,286.2133179,96.78112096,0.985007763,0.55143404,0.633129418,0.597616673,0.047940869,0.94384408,0.108209893,-16.34700012,major,0.035938498,58.73099899,0.222082704
t_f98f1806-c3a8-4669-9798-c6facc1693ab,1962,157.5241699,99.78277645,0.784837782,0.387028098,0.406052351,0.474811047,0.114767179,0.007937006,0.119818367,-16.2840004,major,0.033869173,103.7529984,0.249822229
