track_id,release_year,duration,us_popularity_estimate,acousticness,beat_strength,bounciness,danceability,energy,instrumental,liveness,loudness,mode,speechiness,tempo,valence
t_2e8f4b71-8a0b-4b9c-b7d8-fb5208e87f9f,1971,326.0133362,99.58288471,0.716209292,0.366495311,0.332604557,0.439834684,0.238846868,0.653386056,0.769257665,-17.09399986,major,0.033940237,100.3700027,0.223395407
t_7161417c-6238-4251-92b2-dc08043c05bc,1978,154.2666626,96.58969088,0.429090708,0.765943348,0.829197228,0.919272482,0.363278896,3.81066E-05,0.094298065,-13.86100006,major,0.067513168,121.3410034,0.607399881
t_e1dd675b-fef5-40f4-a210-bd19ee27daf8,1975,316.0133362,98.32087051,0.575535417,0.461202115,0.567745268,0.462526947,0.62822777,0.000437633,0.947145104,-8.572999954,major,0.33197391,174.6670074,0.643243432
t_4f017444-edad-4072-82c9-2c9c10565b10,1983,192.9600067,97.51115796,0.043650106,0.562786043,0.564315557,0.609782875,0.857117593,2.68099E-05,0.355016708,-7.236000061,major,0.029940147,142.9069977,0.947287977
t_b3a31e89-c04b-43ce-868b-f9a9db4cdac5,1987,319,91.54936874,0.192856878,0.372898281,0.380830437,0.337118506,0.561206818,0.059905231,0.644294977,-10.96100044,major,0.200643346,166.8249969,0.666628301
t_38cf4c56-e1a4-4903-aace-b7aa9c324980,1957,179.3999939,97.58352829,0.576361716,0.644668341,0.71237129,0.548685491,0.457702756,0.040871229,0.174787477,-8.798000336,major,0.036982737,108.1589966,0.345075011
t_e41b545d-8dbc-4a6e-a7ad-f39271a3263f,1986,113.8933334,91.93614048,3.31379E-05,0.209097117,0.1681097,0.248323292,0.915694296,0.008155255,0.393182933,-6.528999805,major,0.078204483,77.62000275,0.47114265
t_abbd11af-6655-4149-af21-3c06c3c223d4,1974,155.1733246,90.65765976,0.57656908,0.60323292,0.613965809,0.689665139,0.332594782,1.10728E-06,0.107226484,-11.49300003,major,0.039378829,98.93800354,0.511579216
t_52f62e15-0d8b-4828-b5ab-614063485e50,1984,277.2266846,92.65408573,0.001528369,0.355997592,0.342154652,0.496636748,0.813677132,0.008823487,0.139335215,-6.618000031,major,0.096548542,141.7100067,0.482441872
t_e7a7fe81-3654-4a45-8d49-a9df0c31051b,1983,133.4666748,93.05868467,0.007058697,0.411625862,0.391255915,0.534904659,0.942278683,0.691071987,0.151441395,-6.227000237,major,0.069258466,139.8679962,0.332575172
t_c8a6bd73-47bc-4d96-befd-f4586577dab6,1977,290.3333435,96.24900705,0.014579483,0.369674861,0.41400817,0.393878222,0.474754065,0.00572081,0.959336817,-13.10400009,major,0.039347775,152.8549957,0.375761569
t_48fa1106-e243-42d8-aab1-784108ce17e1,1989,445.5333252,93.76505286,0.866948366,0.376378089,0.406791806,0.427012563,0.188629135,0.427282512,0.197042957,-20.26600075,major,0.048357818,107.0240021,0.498837173
t_0bb0bdb7-b190-44e3-ae9f-94c3abcca655,1985,265.0533447,99.23256191,0.018838024,0.685827911,0.696738362,0.744796097,0.804602921,0.029894942,0.06764634,-7.46999979,major,0.039468743,111.8199997,0.83687073
t_32ae410f-398f-4ad8-a9e3-03d6ea9c0c12,1967,1091.066284,94.98062852,0.57816571,0.3337726,0.308407962,0.387560278,0.584066987,0.800656736,0.142556503,-15.38700008,major,0.065582596,124.1439972,0.657318771
t_835c9b73-ad45-40fa-8d25-b6e7135ddfc4,1956,103.1333313,99.01371068,0.851110041,0.456273675,0.46433267,0.595818102,0.145518556,2.83188E-11,0.189834714,-9.897000313,major,0.036770061,119.5579987,0.543690741
t_e1d6b8ce-3411-4883-b8d7-001cfd1f2a7a,1953,162.7200012,94.33222446,0.991746128,0.648072243,0.792437553,0.656857431,0.310117185,0.499384642,0.108717658,-14.7510004,major,0.180569381,169.1210022,0.884667099
t_b5056562-ad8e-4675-8acc-829dabd66927,1987,186.1999969,95.19159068,0.057819273,0.540956855,0.558650017,0.723524332,0.40078935,8.86763E-05,0.137039989,-13.34000015,major,0.039984051,118.2939987,0.826727629
t_37fffd9c-98ab-4ccf-b058-0f96209a3a35,1978,213.5333252,97.68487504,0.045486126,0.349954218,0.383103848,0.460971355,0.221112877,2.65825E-05,0.593259752,-15.34200001,major,0.044447374,119.0630035,0.600353658
t_6d35900d-fbb2-4299-b8fe-26d42e895993,1962,424.4133301,99.76315752,0.72470814,0.384612828,0.441158324,0.469829023,0.222424179,1.74135E-07,0.220019057,-12.35200024,major,0.040950403,116.4869995,0.290816545
t_a7dff3ea-c0d2-4659-8b0d-7ec9e4d41898,1976,251.4133301,93.15509533,0.555699825,0.382454544,0.36048919,0.504539788,0.460021228,5.52781E-05,0.14082092,-11.27900028,major,0.034941103,120.387001,0.375916302
t_7df64e3a-d879-46a7-80c6-d05b1bef05e5,1978,214.7733307,92.88353774,0.066013381,0.445916653,0.494602174,0.556513071,0.306799173,2.9483E-06,0.098710679,-20.53700066,major,0.081012443,173.121994,0.785708845
t_db8f42be-fadb-42a4-ba3f-2bab43baf447,1983,257.8666687,96.84902644,0.036505543,0.450615138,0.468989402,0.633860469,0.825447559,0.022465069,0.973765016,-6.31400013,major,0.075679794,114.4400024,0.757927954
t_6884f786-70a9-4fa6-9ea0-8753c0620556,1975,201.3200073,98.78343197,0.244894758,0.352608651,0.373506099,0.410341054,0.653162777,7.84649E-07,0.136069953,-5.656000137,major,0.037706822,149.3930054,0.238157719
t_74171ecd-e522-4065-8a35-f36b377ebdb2,1962,326.8666687,94.68343669,0.513043344,0.74003613,0.777510643,0.763739705,0.184557244,0.006752865,0.106827751,-17.5340004,major,0.056843136,90.58300018,0.509389043
t_298fdadc-71bf-477d-9dd8-1631d79fcaa2,1982,286.8533325,98.53808924,0.002420082,0.56336242,0.524842799,0.626886904,0.898668826,3.38458E-06,0.090356417,-9.13599968,major,0.038342383,150.052002,0.969892979
